id,season,division,round,localTeam,visitorTeam,localGoals,visitorGoals,date,timestamp
352,1970-71,2,12,Moscardo,Hercules,2,0,22/11/1970,28076400
353,1970-71,2,12,Deportivo,Castellon,1,0,22/11/1970,28076400
354,1970-71,2,12,Villarreal,Rayo Vallecano,2,1,22/11/1970,28076400
355,1970-71,2,12,Calvo Sotelo,Pontevedra,1,0,22/11/1970,28076400
356,1970-71,2,12,Mallorca,Logrones,3,0,22/11/1970,28076400
357,1970-71,2,12,Oviedo,Racing de Ferrol,6,1,22/11/1970,28076400
358,1970-71,2,12,Cadiz,Langreo,0,0,22/11/1970,28076400
359,1970-71,2,12,Burgos,Santander,3,1,22/11/1970,28076400
360,1970-71,2,12,Sant Andreu,Ontinyent,2,1,22/11/1970,28076400
361,1970-71,2,13,Pontevedra,Sant Andreu,0,2,29/11/1970,28681200
362,1970-71,2,13,Cordoba,Calvo Sotelo,2,1,29/11/1970,28681200
363,1970-71,2,13,Logrones,Hercules,1,0,29/11/1970,28681200
364,1970-71,2,13,Santander,Betis,0,1,29/11/1970,28681200
365,1970-71,2,13,Langreo,Deportivo,1,0,29/11/1970,28681200
366,1970-71,2,13,Castellon,Moscardo,3,0,29/11/1970,28681200
367,1970-71,2,13,Mallorca,Villarreal,2,1,29/11/1970,28681200
368,1970-71,2,13,Rayo Vallecano,Oviedo,1,0,29/11/1970,28681200
369,1970-71,2,13,Ontinyent,Cadiz,0,0,29/11/1970,28681200
370,1970-71,2,13,Racing de Ferrol,Burgos,1,0,29/11/1970,28681200
371,1970-71,2,14,Betis,Racing de Ferrol,4,0,06/12/1970,29286000
372,1970-71,2,14,Burgos,Rayo Vallecano,2,0,06/12/1970,29286000
373,1970-71,2,14,Deportivo,Ontinyent,4,0,06/12/1970,29286000
374,1970-71,2,14,Cadiz,Pontevedra,0,0,06/12/1970,29286000
375,1970-71,2,14,Oviedo,Mallorca,0,1,06/12/1970,29286000
376,1970-71,2,14,Hercules,Castellon,1,1,06/12/1970,29286000
377,1970-71,2,14,Moscardo,Langreo,1,1,06/12/1970,29286000
378,1970-71,2,14,Villarreal,Logrones,2,0,06/12/1970,29286000
379,1970-71,2,14,Calvo Sotelo,Santander,3,2,06/12/1970,29286000
380,1970-71,2,14,Sant Andreu,Cordoba,2,1,06/12/1970,29286000
381,1970-71,2,15,Santander,Sant Andreu,2,0,13/12/1970,29890800
382,1970-71,2,15,Rayo Vallecano,Betis,0,1,13/12/1970,29890800
383,1970-71,2,15,Mallorca,Burgos,2,1,13/12/1970,29890800
384,1970-71,2,15,Langreo,Hercules,0,0,13/12/1970,29890800
385,1970-71,2,15,Ontinyent,Moscardo,0,1,13/12/1970,29890800
386,1970-71,2,15,Cordoba,Cadiz,0,0,13/12/1970,29890800
387,1970-71,2,15,Pontevedra,Deportivo,1,0,13/12/1970,29890800
388,1970-71,2,15,Villarreal,Oviedo,2,1,13/12/1970,29890800
389,1970-71,2,15,Racing de Ferrol,Calvo Sotelo,1,0,13/12/1970,29890800
390,1970-71,2,15,Logrones,Castellon,0,1,13/12/1970,29890800
391,1970-71,2,16,Betis,Mallorca,2,0,20/12/1970,30495600
392,1970-71,2,16,Castellon,Langreo,2,0,20/12/1970,30495600
393,1970-71,2,16,Cadiz,Santander,3,0,20/12/1970,30495600
394,1970-71,2,16,Deportivo,Cordoba,1,0,20/12/1970,30495600
395,1970-71,2,16,Moscardo,Pontevedra,0,0,20/12/1970,30495600
396,1970-71,2,16,Calvo Sotelo,Rayo Vallecano,0,1,20/12/1970,30495600
397,1970-71,2,16,Hercules,Ontinyent,1,1,20/12/1970,30495600
398,1970-71,2,16,Oviedo,Logrones,0,0,20/12/1970,30495600
399,1970-71,2,16,Burgos,Villarreal,2,1,20/12/1970,30495600
400,1970-71,2,16,Sant Andreu,Racing de Ferrol,2,0,20/12/1970,30495600
401,1970-71,2,17,Mallorca,Calvo Sotelo,3,0,27/12/1970,31100400
402,1970-71,2,17,Ontinyent,Castellon,1,0,27/12/1970,31100400
403,1970-71,2,17,Racing de Ferrol,Cadiz,0,1,27/12/1970,31100400
404,1970-71,2,17,Cordoba,Moscardo,2,0,27/12/1970,31100400
405,1970-71,2,17,Pontevedra,Hercules,2,0,27/12/1970,31100400
406,1970-71,2,17,Logrones,Langreo,0,2,27/12/1970,31100400
407,1970-71,2,17,Villarreal,Betis,1,3,27/12/1970,31100400
408,1970-71,2,17,Santander,Deportivo,2,0,27/12/1970,31100400
409,1970-71,2,17,Rayo Vallecano,Sant Andreu,3,0,27/12/1970,31100400
410,1970-71,2,17,Oviedo,Burgos,2,1,28/12/1970,31186800
411,1970-71,2,18,Castellon,Pontevedra,2,0,03/01/1971,31705200
412,1970-71,2,18,Cadiz,Rayo Vallecano,0,0,03/01/1971,31705200
413,1970-71,2,18,Deportivo,Racing de Ferrol,2,2,03/01/1971,31705200
414,1970-71,2,18,Betis,Oviedo,1,0,03/01/1971,31705200
415,1970-71,2,18,Hercules,Cordoba,2,2,03/01/1971,31705200
416,1970-71,2,18,Moscardo,Santander,0,1,03/01/1971,31705200
417,1970-71,2,18,Logrones,Burgos,0,1,03/01/1971,31705200
418,1970-71,2,18,Langreo,Ontinyent,1,0,03/01/1971,31705200
419,1970-71,2,18,Sant Andreu,Mallorca,1,1,03/01/1971,31705200
420,1970-71,2,18,Calvo Sotelo,Villarreal,4,0,27/01/1971,33778800
421,1970-71,2,19,Mallorca,Cadiz,2,1,10/01/1971,32310000
422,1970-71,2,19,Racing de Ferrol,Moscardo,3,1,10/01/1971,32310000
423,1970-71,2,19,Burgos,Betis,1,0,10/01/1971,32310000
424,1970-71,2,19,Ontinyent,Logrones,1,1,10/01/1971,32310000
425,1970-71,2,19,Oviedo,Calvo Sotelo,0,0,10/01/1971,32310000
426,1970-71,2,19,Rayo Vallecano,Deportivo,1,1,10/01/1971,32310000
427,1970-71,2,19,Santander,Hercules,4,1,10/01/1971,32310000
428,1970-71,2,19,Cordoba,Castellon,1,0,10/01/1971,32310000
429,1970-71,2,19,Pontevedra,Langreo,2,0,10/01/1971,32310000
430,1970-71,2,19,Villarreal,Sant Andreu,1,1,10/01/1971,32310000
431,1970-71,2,20,Betis,Logrones,3,2,17/01/1971,32914800
432,1970-71,2,20,Santander,Castellon,2,1,17/01/1971,32914800
433,1970-71,2,20,Cordoba,Langreo,2,1,17/01/1971,32914800
434,1970-71,2,20,Racing de Ferrol,Hercules,3,0,17/01/1971,32914800
435,1970-71,2,20,Oviedo,Sant Andreu,1,0,17/01/1971,32914800
436,1970-71,2,20,Mallorca,Deportivo,2,1,17/01/1971,32914800
437,1970-71,2,20,Villarreal,Cadiz,1,0,17/01/1971,32914800
438,1970-71,2,20,Pontevedra,Ontinyent,2,0,17/01/1971,32914800
439,1970-71,2,20,Rayo Vallecano,Moscardo,2,1,27/01/1971,33778800
440,1970-71,2,20,Burgos,Calvo Sotelo,3,0,10/02/1971,34988400
441,1970-71,2,21,Calvo Sotelo,Betis,3,1,24/01/1971,33519600
442,1970-71,2,21,Logrones,Pontevedra,1,1,24/01/1971,33519600
443,1970-71,2,21,Ontinyent,Cordoba,0,0,24/01/1971,33519600
444,1970-71,2,21,Langreo,Santander,1,0,24/01/1971,33519600
445,1970-71,2,21,Cadiz,Oviedo,0,1,24/01/1971,33519600
446,1970-71,2,21,Castellon,Racing de Ferrol,2,0,24/01/1971,33519600
447,1970-71,2,21,Deportivo,Villarreal,2,0,24/01/1971,33519600
448,1970-71,2,21,Moscardo,Mallorca,1,1,24/01/1971,33519600
449,1970-71,2,21,Hercules,Rayo Vallecano,1,0,24/01/1971,33519600
450,1970-71,2,21,Sant Andreu,Burgos,1,0,24/01/1971,33519600
451,1970-71,2,22,Betis,Sant Andreu,3,1,31/01/1971,34124400
452,1970-71,2,22,Cordoba,Pontevedra,1,2,31/01/1971,34124400
453,1970-71,2,22,Oviedo,Deportivo,3,2,31/01/1971,34124400
454,1970-71,2,22,Villarreal,Moscardo,3,2,31/01/1971,34124400
455,1970-71,2,22,Santander,Ontinyent,3,0,31/01/1971,34124400
456,1970-71,2,22,Racing de Ferrol,Langreo,4,0,31/01/1971,34124400
457,1970-71,2,22,Mallorca,Hercules,2,2,31/01/1971,34124400
458,1970-71,2,22,Rayo Vallecano,Castellon,3,0,31/01/1971,34124400
459,1970-71,2,22,Burgos,Cadiz,5,0,31/01/1971,34124400
460,1970-71,2,22,Calvo Sotelo,Logrones,1,1,31/01/1971,34124400
461,1970-71,2,23,Ontinyent,Racing de Ferrol,1,1,07/02/1971,34729200
462,1970-71,2,23,Cadiz,Betis,1,1,07/02/1971,34729200
463,1970-71,2,23,Moscardo,Oviedo,0,0,07/02/1971,34729200
464,1970-71,2,23,Castellon,Mallorca,0,0,07/02/1971,34729200
465,1970-71,2,23,Langreo,Rayo Vallecano,0,0,07/02/1971,34729200
466,1970-71,2,23,Logrones,Cordoba,0,0,07/02/1971,34729200
467,1970-71,2,23,Deportivo,Burgos,2,1,07/02/1971,34729200
468,1970-71,2,23,Hercules,Villarreal,2,1,07/02/1971,34729200
469,1970-71,2,23,Pontevedra,Santander,1,0,07/02/1971,34729200
470,1970-71,2,23,Sant Andreu,Calvo Sotelo,1,0,07/02/1971,34729200
471,1970-71,2,24,Oviedo,Hercules,4,1,13/02/1971,35247600
472,1970-71,2,24,Villarreal,Castellon,0,2,14/02/1971,35334000
473,1970-71,2,24,Rayo Vallecano,Ontinyent,0,0,14/02/1971,35334000
474,1970-71,2,24,Mallorca,Langreo,3,0,14/02/1971,35334000
475,1970-71,2,24,Santander,Cordoba,0,0,14/02/1971,35334000
476,1970-71,2,24,Betis,Deportivo,1,1,14/02/1971,35334000
477,1970-71,2,24,Calvo Sotelo,Cadiz,1,2,14/02/1971,35334000
478,1970-71,2,24,Burgos,Moscardo,1,0,14/02/1971,35334000
479,1970-71,2,24,Racing de Ferrol,Pontevedra,2,1,14/02/1971,35334000
480,1970-71,2,24,Sant Andreu,Logrones,1,0,14/02/1971,35334000
481,1970-71,2,25,Cadiz,Sant Andreu,2,0,21/02/1971,35938800
482,1970-71,2,25,Pontevedra,Rayo Vallecano,2,1,21/02/1971,35938800
483,1970-71,2,25,Ontinyent,Mallorca,0,0,21/02/1971,35938800
484,1970-71,2,25,Moscardo,Betis,0,0,21/02/1971,35938800
485,1970-71,2,25,Logrones,Santander,4,1,21/02/1971,35938800
486,1970-71,2,25,Castellon,Oviedo,2,0,21/02/1971,35938800
487,1970-71,2,25,Langreo,Villarreal,2,1,21/02/1971,35938800
488,1970-71,2,25,Cordoba,Racing de Ferrol,2,1,21/02/1971,35938800
489,1970-71,2,25,Deportivo,Calvo Sotelo,1,0,21/02/1971,35938800
490,1970-71,2,25,Hercules,Burgos,1,0,21/02/1971,35938800
491,1970-71,2,26,Mallorca,Pontevedra,2,1,28/02/1971,36543600
492,1970-71,2,26,Cadiz,Logrones,1,1,28/02/1971,36543600
493,1970-71,2,26,Burgos,Castellon,1,0,28/02/1971,36543600
494,1970-71,2,26,Villarreal,Ontinyent,1,1,28/02/1971,36543600
495,1970-71,2,26,Rayo Vallecano,Cordoba,2,1,28/02/1971,36543600
496,1970-71,2,26,Calvo Sotelo,Moscardo,2,0,28/02/1971,36543600
497,1970-71,2,26,Betis,Hercules,3,0,28/02/1971,36543600
498,1970-71,2,26,Oviedo,Langreo,4,1,28/02/1971,36543600
499,1970-71,2,26,Racing de Ferrol,Santander,1,1,28/02/1971,36543600
500,1970-71,2,26,Sant Andreu,Deportivo,2,0,28/02/1971,36543600
501,1970-71,2,27,Ontinyent,Oviedo,2,1,07/03/1971,37148400
502,1970-71,2,27,Pontevedra,Villarreal,3,0,07/03/1971,37148400
503,1970-71,2,27,Langreo,Burgos,0,0,07/03/1971,37148400
504,1970-71,2,27,Cordoba,Mallorca,0,0,07/03/1971,37148400
505,1970-71,2,27,Moscardo,Sant Andreu,0,0,07/03/1971,37148400
506,1970-71,2,27,Castellon,Betis,0,1,07/03/1971,37148400
507,1970-71,2,27,Deportivo,Cadiz,1,0,07/03/1971,37148400
508,1970-71,2,27,Santander,Rayo Vallecano,3,3,07/03/1971,37148400
509,1970-71,2,27,Hercules,Calvo Sotelo,2,0,07/03/1971,37148400
510,1970-71,2,27,Logrones,Racing de Ferrol,0,0,07/03/1971,37148400
511,1970-71,2,28,Oviedo,Pontevedra,1,2,13/03/1971,37666800
512,1970-71,2,28,Betis,Langreo,3,0,14/03/1971,37753200
513,1970-71,2,28,Rayo Vallecano,Racing de Ferrol,2,0,14/03/1971,37753200
514,1970-71,2,28,Mallorca,Santander,4,2,14/03/1971,37753200
515,1970-71,2,28,Calvo Sotelo,Castellon,2,2,14/03/1971,37753200
516,1970-71,2,28,Villarreal,Cordoba,0,2,14/03/1971,37753200
517,1970-71,2,28,Deportivo,Logrones,1,0,14/03/1971,37753200
518,1970-71,2,28,Burgos,Ontinyent,4,0,14/03/1971,37753200
519,1970-71,2,28,Cadiz,Moscardo,1,0,14/03/1971,37753200
520,1970-71,2,28,Sant Andreu,Hercules,2,0,14/03/1971,37753200
521,1970-71,2,29,Pontevedra,Burgos,0,0,19/03/1971,38185200
522,1970-71,2,29,Castellon,Sant Andreu,0,2,21/03/1971,38358000
523,1970-71,2,29,Ontinyent,Betis,1,1,21/03/1971,38358000
524,1970-71,2,29,Logrones,Rayo Vallecano,1,0,21/03/1971,38358000
525,1970-71,2,29,Santander,Villarreal,2,0,21/03/1971,38358000
526,1970-71,2,29,Moscardo,Deportivo,2,0,21/03/1971,38358000
527,1970-71,2,29,Cordoba,Oviedo,0,0,21/03/1971,38358000
528,1970-71,2,29,Hercules,Cadiz,2,0,21/03/1971,38358000
529,1970-71,2,29,Racing de Ferrol,Mallorca,2,0,21/03/1971,38358000
530,1970-71,2,29,Langreo,Calvo Sotelo,0,2,23/03/1971,38530800
531,1970-71,2,30,Burgos,Cordoba,1,0,28/03/1971,38962800
532,1970-71,2,30,Deportivo,Hercules,4,1,28/03/1971,38962800
533,1970-71,2,30,Betis,Pontevedra,2,0,28/03/1971,38962800
534,1970-71,2,30,Calvo Sotelo,Ontinyent,2,2,28/03/1971,38962800
535,1970-71,2,30,Mallorca,Rayo Vallecano,1,1,28/03/1971,38962800
536,1970-71,2,30,Villarreal,Racing de Ferrol,3,0,28/03/1971,38962800
537,1970-71,2,30,Cadiz,Castellon,0,0,28/03/1971,38962800
538,1970-71,2,30,Moscardo,Logrones,0,0,28/03/1971,38962800
539,1970-71,2,30,Oviedo,Santander,0,0,28/03/1971,38962800
540,1970-71,2,30,Sant Andreu,Langreo,1,1,28/03/1971,38962800
541,1970-71,2,31,Pontevedra,Calvo Sotelo,2,0,03/04/1971,39477600
542,1970-71,2,31,Ontinyent,Sant Andreu,1,0,04/04/1971,39564000
543,1970-71,2,31,Logrones,Mallorca,0,0,04/04/1971,39564000
544,1970-71,2,31,Rayo Vallecano,Villarreal,3,0,04/04/1971,39564000
545,1970-71,2,31,Cordoba,Betis,1,1,04/04/1971,39564000
546,1970-71,2,31,Castellon,Deportivo,0,0,04/04/1971,39564000
547,1970-71,2,31,Langreo,Cadiz,0,1,04/04/1971,39564000
548,1970-71,2,31,Racing de Ferrol,Oviedo,2,0,04/04/1971,39564000
549,1970-71,2,31,Santander,Burgos,1,0,04/04/1971,39564000
550,1970-71,2,31,Hercules,Moscardo,2,1,04/04/1971,39564000
551,1970-71,2,32,Hercules,Logrones,0,0,10/04/1971,40082400
552,1970-71,2,32,Sant Andreu,Pontevedra,1,1,11/04/1971,40168800
553,1970-71,2,32,Villarreal,Mallorca,1,0,11/04/1971,40168800
554,1970-71,2,32,Oviedo,Rayo Vallecano,0,1,11/04/1971,40168800
555,1970-71,2,32,Betis,Santander,3,1,11/04/1971,40168800
556,1970-71,2,32,Cadiz,Ontinyent,0,0,11/04/1971,40168800
557,1970-71,2,32,Moscardo,Castellon,1,1,11/04/1971,40168800
558,1970-71,2,32,Deportivo,Langreo,2,0,11/04/1971,40168800
559,1970-71,2,32,Calvo Sotelo,Cordoba,1,1,11/04/1971,40168800
560,1970-71,2,32,Burgos,Racing de Ferrol,2,1,11/04/1971,40168800
561,1970-71,2,33,Pontevedra,Cadiz,2,2,17/04/1971,40687200
562,1970-71,2,33,Cordoba,Sant Andreu,3,0,18/04/1971,40773600
563,1970-71,2,33,Rayo Vallecano,Burgos,1,2,18/04/1971,40773600
564,1970-71,2,33,Castellon,Hercules,3,0,18/04/1971,40773600
565,1970-71,2,33,Mallorca,Oviedo,1,0,18/04/1971,40773600
566,1970-71,2,33,Racing de Ferrol,Betis,0,0,18/04/1971,40773600
567,1970-71,2,33,Ontinyent,Deportivo,1,0,18/04/1971,40773600
568,1970-71,2,33,Langreo,Moscardo,2,0,18/04/1971,40773600
569,1970-71,2,33,Logrones,Villarreal,3,0,18/04/1971,40773600
570,1970-71,2,33,Santander,Calvo Sotelo,2,0,18/04/1971,40773600
571,1970-71,2,34,Castellon,Logrones,1,0,09/05/1971,42588000
572,1970-71,2,34,Burgos,Mallorca,1,1,09/05/1971,42588000
573,1970-71,2,34,Cadiz,Cordoba,1,1,09/05/1971,42588000
574,1970-71,2,34,Deportivo,Pontevedra,1,0,09/05/1971,42588000
575,1970-71,2,34,Moscardo,Ontinyent,1,0,09/05/1971,42588000
576,1970-71,2,34,Hercules,Langreo,1,0,09/05/1971,42588000
577,1970-71,2,34,Betis,Rayo Vallecano,1,1,09/05/1971,42588000
578,1970-71,2,34,Oviedo,Villarreal,0,0,09/05/1971,42588000
579,1970-71,2,34,Calvo Sotelo,Racing de Ferrol,3,0,09/05/1971,42588000
580,1970-71,2,34,Sant Andreu,Santander,2,1,09/05/1971,42588000
581,1970-71,2,35,Racing de Ferrol,Sant Andreu,1,1,16/05/1971,43192800
582,1970-71,2,35,Mallorca,Betis,0,1,16/05/1971,43192800
583,1970-71,2,35,Logrones,Oviedo,0,1,16/05/1971,43192800
584,1970-71,2,35,Ontinyent,Hercules,2,1,16/05/1971,43192800
585,1970-71,2,35,Rayo Vallecano,Calvo Sotelo,2,0,16/05/1971,43192800
586,1970-71,2,35,Santander,Cadiz,5,1,16/05/1971,43192800
587,1970-71,2,35,Villarreal,Burgos,0,0,16/05/1971,43192800
588,1970-71,2,35,Cordoba,Deportivo,1,1,16/05/1971,43192800
589,1970-71,2,35,Langreo,Castellon,0,0,16/05/1971,43192800
590,1970-71,2,35,Pontevedra,Moscardo,1,0,16/05/1971,43192800
591,1970-71,2,36,Cadiz,Racing de Ferrol,0,0,22/05/1971,43711200
592,1970-71,2,36,Castellon,Ontinyent,2,0,23/05/1971,43797600
593,1970-71,2,36,Moscardo,Cordoba,0,2,23/05/1971,43797600
594,1970-71,2,36,Burgos,Oviedo,1,1,23/05/1971,43797600
595,1970-71,2,36,Hercules,Pontevedra,3,1,23/05/1971,43797600
596,1970-71,2,36,Calvo Sotelo,Mallorca,3,1,23/05/1971,43797600
597,1970-71,2,36,Betis,Villarreal,1,1,23/05/1971,43797600
598,1970-71,2,36,Langreo,Logrones,2,0,23/05/1971,43797600
599,1970-71,2,36,Deportivo,Santander,2,0,23/05/1971,43797600
600,1970-71,2,36,Sant Andreu,Rayo Vallecano,0,2,23/05/1971,43797600
601,1970-71,2,37,Oviedo,Betis,0,0,29/05/1971,44316000
602,1970-71,2,37,Pontevedra,Castellon,1,1,29/05/1971,44316000
603,1970-71,2,37,Santander,Moscardo,1,0,30/05/1971,44402400
604,1970-71,2,37,Rayo Vallecano,Cadiz,6,0,30/05/1971,44402400
605,1970-71,2,37,Cordoba,Hercules,2,1,30/05/1971,44402400
606,1970-71,2,37,Racing de Ferrol,Deportivo,1,0,30/05/1971,44402400
607,1970-71,2,37,Villarreal,Calvo Sotelo,1,0,30/05/1971,44402400
608,1970-71,2,37,Burgos,Logrones,0,0,30/05/1971,44402400
609,1970-71,2,37,Ontinyent,Langreo,3,2,30/05/1971,44402400
610,1970-71,2,37,Mallorca,Sant Andreu,0,0,30/05/1971,44402400
611,1970-71,2,38,Castellon,Cordoba,1,0,05/06/1971,44920800
612,1970-71,2,38,Betis,Burgos,1,0,06/06/1971,45007200
613,1970-71,2,38,Hercules,Santander,4,1,06/06/1971,45007200
614,1970-71,2,38,Moscardo,Racing de Ferrol,1,2,06/06/1971,45007200
615,1970-71,2,38,Sant Andreu,Villarreal,1,1,06/06/1971,45007200
616,1970-71,2,38,Deportivo,Rayo Vallecano,1,0,06/06/1971,45007200
617,1970-71,2,38,Logrones,Ontinyent,2,0,06/06/1971,45007200
618,1970-71,2,38,Calvo Sotelo,Oviedo,1,0,06/06/1971,45007200
619,1970-71,2,38,Cadiz,Mallorca,1,0,06/06/1971,45007200
620,1970-71,2,38,Langreo,Pontevedra,3,1,06/06/1971,45007200
621,1971-72,1,1,Atletico de Bilbao,Las Palmas,1,2,04/09/1971,52783200
622,1971-72,1,1,Valencia,Espanol,1,1,04/09/1971,52783200
623,1971-72,1,1,Barcelona,Real Sociedad,3,0,05/09/1971,52869600
624,1971-72,1,1,Celta de Vigo,Atletico de Madrid,2,1,05/09/1971,52869600
625,1971-72,1,1,Deportivo,Cordoba,3,2,05/09/1971,52869600
626,1971-72,1,1,Granada,CD Malaga,2,0,05/09/1971,52869600
627,1971-72,1,1,Real Madrid,Betis,2,0,05/09/1971,52869600
628,1971-72,1,1,Sabadell,Sporting de Gijon,0,2,05/09/1971,52869600
629,1971-72,1,1,Sevilla,Burgos,2,0,05/09/1971,52869600
630,1971-72,1,2,Atletico de Madrid,Sabadell,5,0,11/09/1971,53388000
631,1971-72,1,2,Sporting de Gijon,Atletico de Bilbao,3,2,11/09/1971,53388000
632,1971-72,1,2,Las Palmas,Valencia,1,1,11/09/1971,53388000
633,1971-72,1,2,CD Malaga,Deportivo,2,0,11/09/1971,53388000
634,1971-72,1,2,Betis,Celta de Vigo,1,1,12/09/1971,53474400
635,1971-72,1,2,Burgos,Real Madrid,1,2,12/09/1971,53474400
636,1971-72,1,2,Cordoba,Sevilla,1,1,12/09/1971,53474400
637,1971-72,1,2,Espanol,Barcelona,3,0,12/09/1971,53474400
638,1971-72,1,2,Real Sociedad,Granada,3,1,12/09/1971,53474400
639,1971-72,1,3,Valencia,Sporting de Gijon,1,0,18/09/1971,53992800
640,1971-72,1,3,Atletico de Bilbao,Atletico de Madrid,0,1,19/09/1971,54079200
641,1971-72,1,3,Barcelona,Las Palmas,1,2,19/09/1971,54079200
642,1971-72,1,3,Burgos,Cordoba,1,0,19/09/1971,54079200
643,1971-72,1,3,Deportivo,Real Sociedad,1,0,19/09/1971,54079200
644,1971-72,1,3,Granada,Espanol,0,0,19/09/1971,54079200
645,1971-72,1,3,Real Madrid,Celta de Vigo,3,0,19/09/1971,54079200
646,1971-72,1,3,Sabadell,Betis,2,1,19/09/1971,54079200
647,1971-72,1,3,Sevilla,CD Malaga,1,2,19/09/1971,54079200
648,1971-72,1,4,Las Palmas,Granada,2,2,25/09/1971,54597600
649,1971-72,1,4,Atletico de Madrid,Valencia,0,1,26/09/1971,54684000
650,1971-72,1,4,Betis,Atletico de Bilbao,1,0,26/09/1971,54684000
651,1971-72,1,4,Celta de Vigo,Sabadell,0,1,26/09/1971,54684000
652,1971-72,1,4,Cordoba,Real Madrid,2,2,26/09/1971,54684000
653,1971-72,1,4,Espanol,Deportivo,2,0,26/09/1971,54684000
654,1971-72,1,4,Sporting de Gijon,Barcelona,1,0,26/09/1971,54684000
655,1971-72,1,4,CD Malaga,Burgos,4,1,26/09/1971,54684000
656,1971-72,1,4,Real Sociedad,Sevilla,1,1,26/09/1971,54684000
657,1971-72,1,5,Atletico de Bilbao,Celta de Vigo,4,0,03/10/1971,55288800
658,1971-72,1,5,Barcelona,Atletico de Madrid,0,0,03/10/1971,55288800
659,1971-72,1,5,Burgos,Real Sociedad,3,1,03/10/1971,55288800
660,1971-72,1,5,Cordoba,CD Malaga,0,0,03/10/1971,55288800
661,1971-72,1,5,Deportivo,Las Palmas,1,0,03/10/1971,55288800
662,1971-72,1,5,Granada,Sporting de Gijon,1,0,03/10/1971,55288800
663,1971-72,1,5,Real Madrid,Sabadell,2,0,03/10/1971,55288800
664,1971-72,1,5,Sevilla,Espanol,1,0,03/10/1971,55288800
665,1971-72,1,5,Valencia,Betis,2,0,03/10/1971,55288800
666,1971-72,1,6,Las Palmas,Sevilla,1,1,09/10/1971,55807200
667,1971-72,1,6,Atletico de Madrid,Granada,1,0,10/10/1971,55893600
668,1971-72,1,6,Betis,Barcelona,0,0,10/10/1971,55893600
669,1971-72,1,6,Celta de Vigo,Valencia,1,3,10/10/1971,55893600
670,1971-72,1,6,Espanol,Burgos,1,1,10/10/1971,55893600
671,1971-72,1,6,Sporting de Gijon,Deportivo,2,0,10/10/1971,55893600
672,1971-72,1,6,CD Malaga,Real Madrid,1,1,10/10/1971,55893600
673,1971-72,1,6,Real Sociedad,Cordoba,2,1,10/10/1971,55893600
674,1971-72,1,6,Sabadell,Atletico de Bilbao,0,0,10/10/1971,55893600
675,1971-72,1,7,Barcelona,Celta de Vigo,1,0,16/10/1971,56412000
676,1971-72,1,7,Real Madrid,Atletico de Bilbao,1,0,16/10/1971,56412000
677,1971-72,1,7,Burgos,Las Palmas,1,0,17/10/1971,56498400
678,1971-72,1,7,Cordoba,Espanol,3,1,17/10/1971,56498400
679,1971-72,1,7,Deportivo,Atletico de Madrid,1,1,17/10/1971,56498400
680,1971-72,1,7,Granada,Betis,0,0,17/10/1971,56498400
681,1971-72,1,7,CD Malaga,Real Sociedad,1,1,17/10/1971,56498400
682,1971-72,1,7,Sevilla,Sporting de Gijon,3,1,17/10/1971,56498400
683,1971-72,1,7,Valencia,Sabadell,3,1,17/10/1971,56498400
684,1971-72,1,8,Atletico de Bilbao,Valencia,1,1,31/10/1971,57708000
685,1971-72,1,8,Atletico de Madrid,Sevilla,0,2,31/10/1971,57708000
686,1971-72,1,8,Betis,Deportivo,2,0,31/10/1971,57708000
687,1971-72,1,8,Celta de Vigo,Granada,0,0,31/10/1971,57708000
688,1971-72,1,8,Espanol,CD Malaga,4,1,31/10/1971,57708000
689,1971-72,1,8,Sporting de Gijon,Burgos,0,0,31/10/1971,57708000
690,1971-72,1,8,Las Palmas,Cordoba,3,0,31/10/1971,57708000
691,1971-72,1,8,Real Sociedad,Real Madrid,0,2,31/10/1971,57708000
692,1971-72,1,8,Sabadell,Barcelona,0,0,31/10/1971,57708000
693,1971-72,1,9,Barcelona,Atletico de Bilbao,0,1,14/11/1971,58921200
694,1971-72,1,9,Burgos,Atletico de Madrid,0,0,14/11/1971,58921200
695,1971-72,1,9,Cordoba,Sporting de Gijon,0,1,14/11/1971,58921200
696,1971-72,1,9,Deportivo,Celta de Vigo,0,1,14/11/1971,58921200
697,1971-72,1,9,Granada,Sabadell,3,1,14/11/1971,58921200
698,1971-72,1,9,CD Malaga,Las Palmas,0,0,14/11/1971,58921200
699,1971-72,1,9,Real Sociedad,Espanol,4,1,14/11/1971,58921200
700,1971-72,1,9,Real Madrid,Valencia,1,1,14/11/1971,58921200
701,1971-72,1,9,Sevilla,Betis,3,1,14/11/1971,58921200
702,1971-72,1,10,Las Palmas,Real Sociedad,0,0,20/11/1971,59439600
703,1971-72,1,10,Atletico de Bilbao,Granada,1,0,21/11/1971,59526000
704,1971-72,1,10,Atletico de Madrid,Cordoba,2,2,21/11/1971,59526000
705,1971-72,1,10,Betis,Burgos,2,0,21/11/1971,59526000
706,1971-72,1,10,Celta de Vigo,Sevilla,4,1,21/11/1971,59526000
707,1971-72,1,10,Espanol,Real Madrid,0,0,21/11/1971,59526000
708,1971-72,1,10,Sporting de Gijon,CD Malaga,1,2,21/11/1971,59526000
709,1971-72,1,10,Sabadell,Deportivo,4,1,21/11/1971,59526000
